,name,club,rank,category,points,id,link
399,פרדי אמינוב,הפועל בת ים,400,S70,644.1,1010,/p/1010/פרדי-אמינוב
400,אלכסנדר גורביץ,ללא מועדון,401,S,644.0,3107,/p/3107/אלכסנדר-גורביץ
401,רן פרץ,הפועל רמת ישי,402,S40,641.5,1434,/p/1434/רן-פרץ
402,מיכאל מוגורדומוב,בית''ר אשדוד,403,S40,640.7,4169,/p/4169/מיכאל-מוגורדומוב
403,יוסף חיים,הפועל ירושלים,404,S,640.5,8239,/p/8239/יוסף-חיים
404,שמואל שמואלי,הפועל ירושלים,405,S50,640.0,3378,/p/3378/שמואל-שמואלי
405,דוד סיבוני,מ.ק.מתנ''ס קריית גת,406,S60,639.7,2862,/p/2862/דוד-סיבוני
406,יפים פוגורלוב,הפועל בת ים,407,S70,639.5,1011,/p/1011/יפים-פוגורלוב
407,גיל איתן,מכבי תל אביב,408,J17,639.1,4792,/p/4792/גיל-איתן
408,גור רולניק,בית''ר רמלה,409,S40,638.5,1950,/p/1950/גור-רולניק
409,ראובן רוזן,הפועל טנ''ש באר שבע,410,S60,638.5,1390,/p/1390/ראובן-רוזן
410,אבי וידן,הפועל דרום השרון,411,S50,632.0,2096,/p/2096/אבי-וידן
411,הראל איילון,ללא מועדון,412,S,631.6,142,/p/142/הראל-איילון
412,אדם אמיר,עירוני גבעתיים,413,E20,631.5,1781,/p/1781/אדם-אמיר
413,פליקס ברלין,מכבי גבירול באר שבע,414,S60,631.5,1702,/p/1702/פליקס-ברלין
414,בן ציון הבדלה,מכבי רמת יצחק רמת גן,415,S50,631.3,1457,/p/1457/בן-ציון-הבדלה
415,אלכסנדר שרמן,מועדון ספורט מעלה אדומים,416,S70,630.9,302,/p/302/אלכסנדר-שרמן
416,חן עזריה,מכבי שהם,417,S,630.3,773,/p/773/חן-עזריה
417,יובל טולדנו,מכבי עירוני שדרות,418,S40,630.3,6668,/p/6668/יובל-טולדנו
418,ויאצסלב בלץ,הפועל טנ''ש באר שבע,419,S50,629.8,1636,/p/1636/ויאצסלב-בלץ
419,ניסים באבי,מ.ק.מתנ''ס קריית גת,420,E19,628.6,4718,/p/4718/ניסים-באבי
420,משה קאיט,הפועל טנ''ש באר שבע,421,S50,628.5,2083,/p/2083/משה-קאיט
421,ארנסט קלדררו,מכבי עירוני שדרות,422,S70,627.8,1209,/p/1209/ארנסט-קלדררו
422,חוסה מריו סבלה  פייג,הפועל לוד,423,S,627.2,6457,/p/6457/חוסה-מריו-סבלה-פייג
423,בני חי ג'נאח,עירוני טנ''ש ראש העין,424,S,624.9,8454,/p/8454/בני-חי-ג-נאח
424,אייל שדה,קאנטרי ג' תל אביב,425,S,624.1,8118,/p/8118/אייל-שדה
425,יניב עוזר,אליצור קריית אתא,426,S50,624.0,1231,/p/1231/יניב-עוזר
426,יואב זהר,"מ. טנ""ש ויקטור נתניה",427,S,623.5,1389,/p/1389/יואב-זהר
427,אלכסנדר קושבצקי,אליצור קריית אתא,428,S60,622.7,1235,/p/1235/אלכסנדר-קושבצקי
428,בנימין רחמינוב,אליצור קריית אתא,429,S50,622.7,1228,/p/1228/בנימין-רחמינוב
429,אלכסנדר ליבוביץ,הפועל לוד,430,S50,622.1,3844,/p/3844/אלכסנדר-ליבוביץ
430,ארז יצחק,הפועל לוד,431,S50,621.8,3680,/p/3680/ארז-יצחק
431,שאדי חדאד,הפועל עירוני נוף הגליל,432,S,620.5,5475,/p/5475/שאדי-חדאד
432,ברק דוידוביץ,הפועל אשדוד,433,S40,619.9,4262,/p/4262/ברק-דוידוביץ
433,איגור קוגן,הפועל חיפה,434,S60,617.9,533,/p/533/איגור-קוגן
434,רומן אמינוב,בית''ר אשדוד,435,S50,617.1,4011,/p/4011/רומן-אמינוב
435,יעקב היילברונר,אופק קריית אונו,436,S50,616.8,7067,/p/7067/יעקב-היילברונר
436,בנימין פרידמן,הפועל מבואות חרמון,437,S70,614.9,2278,/p/2278/בנימין-פרידמן
437,ניר פינקלשטיין,בית''ר באר שבע,438,S50,614.8,4501,/p/4501/ניר-פינקלשטיין
438,מרטין חרקובר,מכבי שהם,439,E21,614.6,2193,/p/2193/מרטין-חרקובר
439,נועם נימרודי,הפועל פתח תקווה,440,M13,611.7,6979,/p/6979/נועם-נימרודי
440,מיכאל שרייב,כרמל מרכזי טניס שולחן חיפה,441,S,609.2,8156,/p/8156/מיכאל-שרייב
441,אבישי שטיין,ללא מועדון,442,S,608.7,813,/p/813/אבישי-שטיין
442,דניאל וקנין,הפועל לוד,443,S60,607.6,1173,/p/1173/דניאל-וקנין
443,פליקס חכם,הפועל פתח תקווה,444,S50,607.0,2627,/p/2627/פליקס-חכם
